first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Spencer,Hawes,2015-03-29,LAC,BOS,1148,0,2,0,1,3,4,0,4,4,4,0,0,1,3,3,13.5
Ian,Mahinmi,2015-03-29,IND,DAL,1021,1,3,0,0,1,4,1,3,4,1,2,1,1,3,3,15.0
C.J.,Watson,2015-03-29,IND,DAL,1416,2,5,0,2,3,4,0,3,3,1,0,0,1,4,7,11.75
Robbie,Hummel,2015-03-29,MIN,NOP,1052,2,4,0,1,2,2,0,1,1,1,0,0,1,3,6,8.25
Isaiah,Canaan,2015-03-29,PHI,CLE,1049,3,11,2,7,0,0,0,1,1,5,1,0,3,2,8,18.25
Luol,Deng,2015-03-29,MIA,DET,1078,1,5,0,1,2,2,0,2,2,1,1,0,1,0,4,9.5
Alex,Len,2015-03-29,PHO,OKC,1487,1,3,0,0,0,0,3,8,11,0,0,2,3,3,2,18.25
Tayshaun,Prince,2015-03-29,DET,MIA,1423,2,8,1,3,1,1,1,3,4,2,0,0,1,3,6,14.0
Robert,Sacre,2015-03-29,LAL,BRK,1186,2,5,0,0,0,0,0,0,0,1,1,0,1,0,4,7.0
Rasual,Butler,2015-03-29,WAS,HOU,817,0,3,0,2,2,2,0,1,1,1,1,0,0,0,2,6.75
Gorgui,Dieng,2015-03-29,MIN,NOP,546,0,1,0,0,0,0,0,3,3,0,0,3,0,1,0,9.75
Solomon,Hill,2015-03-29,IND,DAL,857,1,2,0,0,0,0,0,1,1,6,0,0,2,4,2,11.25
Devin,Harris,2015-03-29,DAL,IND,1632,1,5,1,2,1,2,1,1,2,3,0,0,1,2,4,11.0
Shawn,Marion,2015-03-29,CLE,PHI,378,1,1,0,0,0,0,2,1,3,1,0,0,2,1,2,6.25
Jae,Crowder,2015-03-29,BOS,LAC,1305,2,6,0,2,2,2,1,2,3,1,0,0,1,5,6,10.75
Al-Farouq,Aminu,2015-03-29,DAL,IND,879,1,4,0,1,1,2,1,1,2,0,1,0,0,2,3,7.5
Martell,Webster,2015-03-29,WAS,HOU,508,1,2,1,1,0,0,1,0,1,0,0,0,1,1,3,4.25
Michael,Beasley,2015-03-29,MIA,DET,449,2,6,0,0,0,0,0,1,1,1,0,0,0,1,4,6.75
Glen,Davis,2015-03-29,LAC,BOS,855,2,6,0,0,0,0,1,0,1,0,0,1,0,2,4,7.25
Shawne,Williams,2015-03-29,DET,MIA,436,0,3,0,1,2,2,1,1,2,0,0,0,0,0,2,4.5
Henry,Sims,2015-03-29,PHI,CLE,750,1,2,0,0,1,2,2,0,2,0,0,0,1,3,3,5.0
Patrick,Mills,2015-03-29,SAS,MEM,753,1,5,0,3,0,0,0,0,0,1,1,0,0,0,2,5.5
Lavoy,Allen,2015-03-29,IND,DAL,206,1,3,0,0,0,0,1,2,3,0,0,1,1,2,2,7.25
Anthony,Bennett,2015-03-29,MIN,NOP,690,0,4,0,1,2,2,0,1,1,2,1,0,1,1,2,7.75
Matthew,Dellavedova,2015-03-29,CLE,PHI,1209,0,2,0,2,0,0,1,2,3,2,0,0,0,2,0,6.75
Mitch,McGary,2015-03-29,OKC,PHO,489,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,3.75
Hedo,Turkoglu,2015-03-29,LAC,BOS,910,1,5,1,4,0,0,0,3,3,1,0,0,1,0,3,8.25
Charlie,Villanueva,2015-03-29,DAL,IND,699,1,5,1,3,0,0,0,2,2,1,0,0,0,2,3,7.5
Cory,Joseph,2015-03-29,SAS,MEM,42,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.25
Earl,Clark,2015-03-29,BRK,LAL,1186,2,10,0,5,0,0,1,7,8,0,0,2,1,2,4,17.5
Matt,Bonner,2015-03-29,SAS,MEM,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
JaMychal,Green,2015-03-29,MEM,SAS,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Lester,Hudson,2015-03-29,LAC,BOS,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Reggie,Williams,2015-03-29,SAS,MEM,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Caron,Butler,2015-03-29,DET,MIA,1010,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,3.0
Archie,Goodwin,2015-03-29,PHO,OKC,183,1,3,0,0,0,0,1,1,2,0,0,0,1,1,2,4.0
Tyler,Johnson,2015-03-29,MIA,DET,1200,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,4.0
Richard,Jefferson,2015-03-29,DAL,IND,987,2,6,0,1,0,0,0,0,0,2,0,0,1,3,4,6.5
Bojan,Bogdanovic,2015-03-29,BRK,LAL,517,1,4,0,1,0,0,1,0,1,0,0,0,0,2,2,3.25
Jordan,Adams,2015-03-29,MEM,SAS,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Dahntay,Jones,2015-03-29,LAC,BOS,42,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
James,Jones,2015-03-29,CLE,PHI,352,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0
Nick,Calathes,2015-03-29,MEM,SAS,790,0,2,0,0,0,0,1,3,4,2,0,0,2,2,0,7.0
Kevin,Seraphin,2015-03-29,WAS,HOU,472,1,4,0,0,1,2,0,0,0,0,0,1,1,3,3,4.5
C.J.,Wilcox,2015-03-29,LAC,BOS,247,0,2,0,2,0,0,0,2,2,0,0,0,1,0,0,2.0
Spencer,Dinwiddie,2015-03-29,DET,MIA,718,0,5,0,1,2,2,0,1,1,1,0,0,1,1,2,4.25
Kentavious,Caldwell-Pope,2015-03-29,DET,MIA,2436,4,15,0,6,1,2,0,4,4,1,2,0,4,4,9,17.5
Brandon,Knight,2015-03-29,PHO,OKC,1332,1,10,0,6,1,2,0,2,2,4,1,0,2,1,3,12.5
Paul,Pierce,2015-03-29,WAS,HOU,1344,1,6,0,3,0,0,1,0,1,1,1,0,2,2,2,5.75
Jerami,Grant,2015-03-29,PHI,CLE,1295,0,4,0,2,2,4,0,2,2,0,0,0,2,2,2,3.5
Nick,Johnson,2015-03-29,HOU,WAS,987,0,3,0,1,0,4,1,1,2,0,0,1,2,2,0,3.5
Marcus,Smart,2015-03-29,BOS,LAC,1102,0,6,0,3,0,0,1,3,4,0,0,0,1,3,0,4.5
