date,visitor,home
2014-10-28,Houston Rockets,Los Angeles Lakers
2014-10-28,Orlando Magic,New Orleans Pelicans
2014-10-28,Dallas Mavericks,San Antonio Spurs
2014-10-29,Brooklyn Nets,Boston Celtics
2014-10-29,Milwaukee Bucks,Charlotte Hornets
2014-10-29,Detroit Pistons,Denver Nuggets
2014-10-29,Philadelphia 76ers,Indiana Pacers
2014-10-29,Minnesota Timberwolves,Memphis Grizzlies
2014-10-29,Washington Wizards,Miami Heat
2014-10-29,Chicago Bulls,New York Knicks
2014-10-29,Los Angeles Lakers,Phoenix Suns
2014-10-29,Oklahoma City Thunder,Portland Trail Blazers
2014-10-29,Golden State Warriors,Sacramento Kings
2014-10-29,Atlanta Hawks,Toronto Raptors
2014-10-29,Houston Rockets,Utah Jazz
2014-10-30,New York Knicks,Cleveland Cavaliers
2014-10-30,Utah Jazz,Dallas Mavericks
2014-10-30,Oklahoma City Thunder,Los Angeles Clippers
2014-10-30,Detroit Pistons,Minnesota Timberwolves
2014-10-30,Washington Wizards,Orlando Magic
2014-10-31,Cleveland Cavaliers,Chicago Bulls
2014-10-31,Memphis Grizzlies,Indiana Pacers
2014-10-31,Los Angeles Clippers,Los Angeles Lakers
2014-10-31,Philadelphia 76ers,Milwaukee Bucks
2014-10-31,San Antonio Spurs,Phoenix Suns
2014-10-31,Portland Trail Blazers,Sacramento Kings
2014-11-01,Indiana Pacers,Atlanta Hawks
2014-11-01,Memphis Grizzlies,Charlotte Hornets
2014-11-01,Brooklyn Nets,Detroit Pistons
2014-11-01,Los Angeles Lakers,Golden State Warriors
2014-11-01,Boston Celtics,Houston Rockets
2014-11-01,Chicago Bulls,Minnesota Timberwolves
2014-11-01,Dallas Mavericks,New Orleans Pelicans
2014-11-01,Denver Nuggets,Oklahoma City Thunder
2014-11-01,Toronto Raptors,Orlando Magic
2014-11-01,Miami Heat,Philadelphia 76ers
2014-11-01,Phoenix Suns,Utah Jazz
2014-11-01,Milwaukee Bucks,Washington Wizards
2014-11-02,Sacramento Kings,Los Angeles Clippers
2014-11-02,Toronto Raptors,Miami Heat
2014-11-02,Charlotte Hornets,New York Knicks
2014-11-02,Golden State Warriors,Portland Trail Blazers
2014-11-03,Oklahoma City Thunder,Brooklyn Nets
2014-11-03,Boston Celtics,Dallas Mavericks
2014-11-03,Sacramento Kings,Denver Nuggets
2014-11-03,Utah Jazz,Los Angeles Clippers
2014-11-03,New Orleans Pelicans,Memphis Grizzlies
2014-11-03,Houston Rockets,Philadelphia 76ers
2014-11-04,Orlando Magic,Chicago Bulls
2014-11-04,Milwaukee Bucks,Indiana Pacers
2014-11-04,Phoenix Suns,Los Angeles Lakers
2014-11-04,Houston Rockets,Miami Heat
2014-11-04,Charlotte Hornets,New Orleans Pelicans
2014-11-04,Washington Wizards,New York Knicks
2014-11-04,Cleveland Cavaliers,Portland Trail Blazers
2014-11-04,Oklahoma City Thunder,Toronto Raptors
2014-11-05,Toronto Raptors,Boston Celtics
2014-11-05,Minnesota Timberwolves,Brooklyn Nets
2014-11-05,Miami Heat,Charlotte Hornets
2014-11-05,New York Knicks,Detroit Pistons
2014-11-05,Los Angeles Clippers,Golden State Warriors
2014-11-05,Chicago Bulls,Milwaukee Bucks
2014-11-05,Orlando Magic,Philadelphia 76ers
2014-11-05,Memphis Grizzlies,Phoenix Suns
2014-11-05,Denver Nuggets,Sacramento Kings
2014-11-05,Atlanta Hawks,San Antonio Spurs
2014-11-05,Cleveland Cavaliers,Utah Jazz
2014-11-05,Indiana Pacers,Washington Wizards
2014-11-06,San Antonio Spurs,Houston Rockets
2014-11-06,Dallas Mavericks,Portland Trail Blazers
2014-11-07,Indiana Pacers,Boston Celtics
2014-11-07,New York Knicks,Brooklyn Nets
2014-11-07,Atlanta Hawks,Charlotte Hornets
2014-11-07,Cleveland Cavaliers,Denver Nuggets
2014-11-07,Milwaukee Bucks,Detroit Pistons
2014-11-07,Memphis Grizzlies,Oklahoma City Thunder
2014-11-07,Minnesota Timberwolves,Orlando Magic
2014-11-07,Chicago Bulls,Philadelphia 76ers
2014-11-07,Sacramento Kings,Phoenix Suns
2014-11-07,Washington Wizards,Toronto Raptors
2014-11-07,Dallas Mavericks,Utah Jazz
2014-11-08,New York Knicks,Atlanta Hawks
2014-11-08,Boston Celtics,Chicago Bulls
2014-11-08,Golden State Warriors,Houston Rockets
2014-11-08,Washington Wizards,Indiana Pacers
2014-11-08,Portland Trail Blazers,Los Angeles Clippers
2014-11-08,Minnesota Timberwolves,Miami Heat
2014-11-08,Memphis Grizzlies,Milwaukee Bucks
2014-11-08,New Orleans Pelicans,San Antonio Spurs
2014-11-09,Orlando Magic,Brooklyn Nets
2014-11-09,Miami Heat,Dallas Mavericks
2014-11-09,Utah Jazz,Detroit Pistons
2014-11-09,Charlotte Hornets,Los Angeles Lakers
2014-11-09,Sacramento Kings,Oklahoma City Thunder
2014-11-09,Golden State Warriors,Phoenix Suns
2014-11-09,Denver Nuggets,Portland Trail Blazers
2014-11-09,Philadelphia 76ers,Toronto Raptors
2014-11-10,Detroit Pistons,Chicago Bulls
2014-11-10,New Orleans Pelicans,Cleveland Cavaliers
2014-11-10,Utah Jazz,Indiana Pacers
2014-11-10,San Antonio Spurs,Los Angeles Clippers
2014-11-10,Atlanta Hawks,New York Knicks
2014-11-11,Sacramento Kings,Dallas Mavericks
2014-11-11,San Antonio Spurs,Golden State Warriors
2014-11-11,Los Angeles Lakers,Memphis Grizzlies
2014-11-11,Oklahoma City Thunder,Milwaukee Bucks
2014-11-11,Charlotte Hornets,Portland Trail Blazers
2014-11-11,Orlando Magic,Toronto Raptors
2014-11-12,Utah Jazz,Atlanta Hawks
2014-11-12,Oklahoma City Thunder,Boston Celtics
2014-11-12,Portland Trail Blazers,Denver Nuggets
2014-11-12,Indiana Pacers,Miami Heat
2014-11-12,Houston Rockets,Minnesota Timberwolves
2014-11-12,Los Angeles Lakers,New Orleans Pelicans
2014-11-12,Orlando Magic,New York Knicks
2014-11-12,Brooklyn Nets,Phoenix Suns
2014-11-12,Detroit Pistons,Washington Wizards
2014-11-13,Philadelphia 76ers,Dallas Mavericks
2014-11-13,Brooklyn Nets,Golden State Warriors
2014-11-13,Sacramento Kings,Memphis Grizzlies
2014-11-13,Chicago Bulls,Toronto Raptors
2014-11-14,Miami Heat,Atlanta Hawks
2014-11-14,Cleveland Cavaliers,Boston Celtics
2014-11-14,Philadelphia 76ers,Houston Rockets
2014-11-14,Denver Nuggets,Indiana Pacers
2014-11-14,San Antonio Spurs,Los Angeles Lakers
2014-11-14,Minnesota Timberwolves,New Orleans Pelicans
2014-11-14,Utah Jazz,New York Knicks
2014-11-14,Detroit Pistons,Oklahoma City Thunder
2014-11-14,Milwaukee Bucks,Orlando Magic
2014-11-14,Charlotte Hornets,Phoenix Suns
2014-11-15,Indiana Pacers,Chicago Bulls
2014-11-15,Atlanta Hawks,Cleveland Cavaliers
2014-11-15,Minnesota Timberwolves,Dallas Mavericks
2014-11-15,Charlotte Hornets,Golden State Warriors
2014-11-15,Phoenix Suns,Los Angeles Clippers
2014-11-15,Detroit Pistons,Memphis Grizzlies
2014-11-15,Brooklyn Nets,Portland Trail Blazers
2014-11-15,San Antonio Spurs,Sacramento Kings
2014-11-15,Utah Jazz,Toronto Raptors
2014-11-15,Orlando Magic,Washington Wizards
2014-11-16,Golden State Warriors,Los Angeles Lakers
2014-11-16,Milwaukee Bucks,Miami Heat
2014-11-16,Denver Nuggets,New York Knicks
2014-11-16,Houston Rockets,Oklahoma City Thunder
2014-11-17,Phoenix Suns,Boston Celtics
2014-11-17,Miami Heat,Brooklyn Nets
2014-11-17,Dallas Mavericks,Charlotte Hornets
2014-11-17,Denver Nuggets,Cleveland Cavaliers
2014-11-17,Orlando Magic,Detroit Pistons
2014-11-17,Chicago Bulls,Los Angeles Clippers
2014-11-17,Houston Rockets,Memphis Grizzlies
2014-11-17,New Orleans Pelicans,Portland Trail Blazers
2014-11-17,Philadelphia 76ers,San Antonio Spurs
2014-11-18,Los Angeles Lakers,Atlanta Hawks
2014-11-18,New York Knicks,Milwaukee Bucks
2014-11-18,New Orleans Pelicans,Sacramento Kings
2014-11-18,Oklahoma City Thunder,Utah Jazz
2014-11-19,Milwaukee Bucks,Brooklyn Nets
2014-11-19,San Antonio Spurs,Cleveland Cavaliers
2014-11-19,Oklahoma City Thunder,Denver Nuggets
2014-11-19,Phoenix Suns,Detroit Pistons
2014-11-19,Los Angeles Lakers,Houston Rockets
2014-11-19,Charlotte Hornets,Indiana Pacers
2014-11-19,New York Knicks,Minnesota Timberwolves
2014-11-19,Los Angeles Clippers,Orlando Magic
2014-11-19,Boston Celtics,Philadelphia 76ers
2014-11-19,Memphis Grizzlies,Toronto Raptors
2014-11-19,Dallas Mavericks,Washington Wizards
2014-11-20,Los Angeles Clippers,Miami Heat
2014-11-20,Chicago Bulls,Sacramento Kings
2014-11-21,Detroit Pistons,Atlanta Hawks
2014-11-21,Orlando Magic,Charlotte Hornets
2014-11-21,Los Angeles Lakers,Dallas Mavericks
2014-11-21,New Orleans Pelicans,Denver Nuggets
2014-11-21,Utah Jazz,Golden State Warriors
2014-11-21,Boston Celtics,Memphis Grizzlies
2014-11-21,San Antonio Spurs,Minnesota Timberwolves
2014-11-21,Brooklyn Nets,Oklahoma City Thunder
2014-11-21,Phoenix Suns,Philadelphia 76ers
2014-11-21,Chicago Bulls,Portland Trail Blazers
2014-11-21,Milwaukee Bucks,Toronto Raptors
2014-11-21,Cleveland Cavaliers,Washington Wizards
2014-11-22,Toronto Raptors,Cleveland Cavaliers
2014-11-22,Dallas Mavericks,Houston Rockets
2014-11-22,Phoenix Suns,Indiana Pacers
2014-11-22,Washington Wizards,Milwaukee Bucks
2014-11-22,Sacramento Kings,Minnesota Timberwolves
2014-11-22,Philadelphia 76ers,New York Knicks
2014-11-22,Miami Heat,Orlando Magic
2014-11-22,Brooklyn Nets,San Antonio Spurs
2014-11-22,New Orleans Pelicans,Utah Jazz
2014-11-23,Portland Trail Blazers,Boston Celtics
2014-11-23,Denver Nuggets,Los Angeles Lakers
2014-11-23,Los Angeles Clippers,Memphis Grizzlies
2014-11-23,Charlotte Hornets,Miami Heat
2014-11-23,Golden State Warriors,Oklahoma City Thunder
2014-11-24,Los Angeles Clippers,Charlotte Hornets
2014-11-24,Orlando Magic,Cleveland Cavaliers
2014-11-24,Indiana Pacers,Dallas Mavericks
2014-11-24,New York Knicks,Houston Rockets
2014-11-24,Portland Trail Blazers,Philadelphia 76ers
2014-11-24,Phoenix Suns,Toronto Raptors
2014-11-24,Chicago Bulls,Utah Jazz
2014-11-25,Chicago Bulls,Denver Nuggets
2014-11-25,Golden State Warriors,Miami Heat
2014-11-25,Detroit Pistons,Milwaukee Bucks
2014-11-25,Sacramento Kings,New Orleans Pelicans
2014-11-25,Atlanta Hawks,Washington Wizards
2014-11-26,Toronto Raptors,Atlanta Hawks
2014-11-26,Portland Trail Blazers,Charlotte Hornets
2014-11-26,Washington Wizards,Cleveland Cavaliers
2014-11-26,New York Knicks,Dallas Mavericks
2014-11-26,Los Angeles Clippers,Detroit Pistons
2014-11-26,Sacramento Kings,Houston Rockets
2014-11-26,Memphis Grizzlies,Los Angeles Lakers
2014-11-26,Milwaukee Bucks,Minnesota Timberwolves
2014-11-26,Utah Jazz,Oklahoma City Thunder
2014-11-26,Golden State Warriors,Orlando Magic
2014-11-26,Brooklyn Nets,Philadelphia 76ers
2014-11-26,Denver Nuggets,Phoenix Suns
2014-11-26,Indiana Pacers,San Antonio Spurs
2014-11-28,New Orleans Pelicans,Atlanta Hawks
2014-11-28,Chicago Bulls,Boston Celtics
2014-11-28,Golden State Warriors,Charlotte Hornets
2014-11-28,Phoenix Suns,Denver Nuggets
2014-11-28,Milwaukee Bucks,Detroit Pistons
2014-11-28,Los Angeles Clippers,Houston Rockets
2014-11-28,Orlando Magic,Indiana Pacers
2014-11-28,Minnesota Timberwolves,Los Angeles Lakers
2014-11-28,New York Knicks,Oklahoma City Thunder
2014-11-28,Memphis Grizzlies,Portland Trail Blazers
2014-11-28,Sacramento Kings,San Antonio Spurs
2014-11-28,Dallas Mavericks,Toronto Raptors
2014-11-29,Charlotte Hornets,Atlanta Hawks
2014-11-29,Indiana Pacers,Cleveland Cavaliers
2014-11-29,Houston Rockets,Milwaukee Bucks
2014-11-29,Dallas Mavericks,Philadelphia 76ers
2014-11-29,Los Angeles Clippers,Utah Jazz
2014-11-29,New Orleans Pelicans,Washington Wizards
2014-11-30,San Antonio Spurs,Boston Celtics
2014-11-30,Chicago Bulls,Brooklyn Nets
2014-11-30,Golden State Warriors,Detroit Pistons
2014-11-30,Toronto Raptors,Los Angeles Lakers
2014-11-30,Miami Heat,New York Knicks
2014-11-30,Orlando Magic,Phoenix Suns
2014-11-30,Minnesota Timberwolves,Portland Trail Blazers
2014-11-30,Memphis Grizzlies,Sacramento Kings
2014-12-01,Minnesota Timberwolves,Los Angeles Clippers
2014-12-01,San Antonio Spurs,Philadelphia 76ers
2014-12-01,Denver Nuggets,Utah Jazz
2014-12-01,Miami Heat,Washington Wizards
2014-12-02,Boston Celtics,Atlanta Hawks
2014-12-02,Dallas Mavericks,Chicago Bulls
2014-12-02,Milwaukee Bucks,Cleveland Cavaliers
2014-12-02,Portland Trail Blazers,Denver Nuggets
2014-12-02,Los Angeles Lakers,Detroit Pistons
2014-12-02,Orlando Magic,Golden State Warriors
2014-12-02,Oklahoma City Thunder,New Orleans Pelicans
2014-12-02,Brooklyn Nets,New York Knicks
2014-12-02,Indiana Pacers,Phoenix Suns
2014-12-02,Toronto Raptors,Sacramento Kings
2014-12-03,Detroit Pistons,Boston Celtics
2014-12-03,San Antonio Spurs,Brooklyn Nets
2014-12-03,Chicago Bulls,Charlotte Hornets
2014-12-03,Memphis Grizzlies,Houston Rockets
2014-12-03,Orlando Magic,Los Angeles Clippers
2014-12-03,Atlanta Hawks,Miami Heat
2014-12-03,Dallas Mavericks,Milwaukee Bucks
2014-12-03,Philadelphia 76ers,Minnesota Timberwolves
2014-12-03,Toronto Raptors,Utah Jazz
2014-12-03,Los Angeles Lakers,Washington Wizards
2014-12-04,New Orleans Pelicans,Golden State Warriors
2014-12-04,Cleveland Cavaliers,New York Knicks
2014-12-04,Indiana Pacers,Portland Trail Blazers
2014-12-05,Los Angeles Lakers,Boston Celtics
2014-12-05,Atlanta Hawks,Brooklyn Nets
2014-12-05,New York Knicks,Charlotte Hornets
2014-12-05,Phoenix Suns,Dallas Mavericks
2014-12-05,San Antonio Spurs,Memphis Grizzlies
2014-12-05,Miami Heat,Milwaukee Bucks
2014-12-05,Houston Rockets,Minnesota Timberwolves
2014-12-05,Oklahoma City Thunder,Philadelphia 76ers
2014-12-05,Indiana Pacers,Sacramento Kings
2014-12-05,Cleveland Cavaliers,Toronto Raptors
2014-12-05,Orlando Magic,Utah Jazz
2014-12-05,Denver Nuggets,Washington Wizards
2014-12-06,Golden State Warriors,Chicago Bulls
2014-12-06,Philadelphia 76ers,Detroit Pistons
2014-12-06,Phoenix Suns,Houston Rockets
2014-12-06,New Orleans Pelicans,Los Angeles Clippers
2014-12-06,Orlando Magic,Sacramento Kings
2014-12-06,Minnesota Timberwolves,San Antonio Spurs
2014-12-07,Denver Nuggets,Atlanta Hawks
2014-12-07,Washington Wizards,Boston Celtics
2014-12-07,Milwaukee Bucks,Dallas Mavericks
2014-12-07,Oklahoma City Thunder,Detroit Pistons
2014-12-07,New Orleans Pelicans,Los Angeles Lakers
2014-12-07,Miami Heat,Memphis Grizzlies
2014-12-07,Portland Trail Blazers,New York Knicks
2014-12-08,Cleveland Cavaliers,Brooklyn Nets
2014-12-08,Atlanta Hawks,Indiana Pacers
2014-12-08,Phoenix Suns,Los Angeles Clippers
2014-12-08,Golden State Warriors,Minnesota Timberwolves
2014-12-08,Utah Jazz,Sacramento Kings
2014-12-08,Denver Nuggets,Toronto Raptors
2014-12-08,Boston Celtics,Washington Wizards
2014-12-09,Toronto Raptors,Cleveland Cavaliers
2014-12-09,Portland Trail Blazers,Detroit Pistons
2014-12-09,Sacramento Kings,Los Angeles Lakers
2014-12-09,Dallas Mavericks,Memphis Grizzlies
2014-12-09,New York Knicks,New Orleans Pelicans
2014-12-09,Milwaukee Bucks,Oklahoma City Thunder
2014-12-09,Miami Heat,Phoenix Suns
2014-12-09,San Antonio Spurs,Utah Jazz
2014-12-10,Philadelphia 76ers,Atlanta Hawks
2014-12-10,Brooklyn Nets,Chicago Bulls
2014-12-10,Boston Celtics,Charlotte Hornets
2014-12-10,New Orleans Pelicans,Dallas Mavericks
2014-12-10,Miami Heat,Denver Nuggets
2014-12-10,Houston Rockets,Golden State Warriors
2014-12-10,Los Angeles Clippers,Indiana Pacers
2014-12-10,Portland Trail Blazers,Minnesota Timberwolves
2014-12-10,Washington Wizards,Orlando Magic
2014-12-10,New York Knicks,San Antonio Spurs
2014-12-11,Cleveland Cavaliers,Oklahoma City Thunder
2014-12-11,Houston Rockets,Sacramento Kings
2014-12-12,Orlando Magic,Atlanta Hawks
2014-12-12,New York Knicks,Boston Celtics
2014-12-12,Philadelphia 76ers,Brooklyn Nets
2014-12-12,Portland Trail Blazers,Chicago Bulls
2014-12-12,Charlotte Hornets,Memphis Grizzlies
2014-12-12,Oklahoma City Thunder,Minnesota Timberwolves
2014-12-12,Cleveland Cavaliers,New Orleans Pelicans
2014-12-12,Detroit Pistons,Phoenix Suns
2014-12-12,Los Angeles Lakers,San Antonio Spurs
2014-12-12,Indiana Pacers,Toronto Raptors
2014-12-12,Miami Heat,Utah Jazz
2014-12-12,Los Angeles Clippers,Washington Wizards
2014-12-13,Brooklyn Nets,Charlotte Hornets
2014-12-13,Golden State Warriors,Dallas Mavericks
2014-12-13,Denver Nuggets,Houston Rockets
2014-12-13,Portland Trail Blazers,Indiana Pacers
2014-12-13,Los Angeles Clippers,Milwaukee Bucks
2014-12-13,Atlanta Hawks,Orlando Magic
2014-12-13,Memphis Grizzlies,Philadelphia 76ers
2014-12-13,Detroit Pistons,Sacramento Kings
2014-12-14,San Antonio Spurs,Denver Nuggets
2014-12-14,Chicago Bulls,Miami Heat
2014-12-14,Los Angeles Lakers,Minnesota Timberwolves
2014-12-14,Golden State Warriors,New Orleans Pelicans
2014-12-14,Toronto Raptors,New York Knicks
2014-12-14,Phoenix Suns,Oklahoma City Thunder
2014-12-14,Utah Jazz,Washington Wizards
2014-12-15,Chicago Bulls,Atlanta Hawks
2014-12-15,Charlotte Hornets,Cleveland Cavaliers
2014-12-15,Los Angeles Lakers,Indiana Pacers
2014-12-15,Detroit Pistons,Los Angeles Clippers
2014-12-15,Boston Celtics,Philadelphia 76ers
2014-12-15,Milwaukee Bucks,Phoenix Suns
2014-12-15,San Antonio Spurs,Portland Trail Blazers
2014-12-15,Orlando Magic,Toronto Raptors
2014-12-16,Miami Heat,Brooklyn Nets
2014-12-16,Golden State Warriors,Memphis Grizzlies
2014-12-16,Utah Jazz,New Orleans Pelicans
2014-12-16,Dallas Mavericks,New York Knicks
2014-12-16,Oklahoma City Thunder,Sacramento Kings
2014-12-16,Minnesota Timberwolves,Washington Wizards
2014-12-17,Orlando Magic,Boston Celtics
2014-12-17,Phoenix Suns,Charlotte Hornets
2014-12-17,Atlanta Hawks,Cleveland Cavaliers
2014-12-17,Houston Rockets,Denver Nuggets
2014-12-17,Dallas Mavericks,Detroit Pistons
2014-12-17,Indiana Pacers,Los Angeles Clippers
2014-12-17,Utah Jazz,Miami Heat
2014-12-17,Milwaukee Bucks,Portland Trail Blazers
2014-12-17,Memphis Grizzlies,San Antonio Spurs
2014-12-17,Brooklyn Nets,Toronto Raptors
2014-12-18,New York Knicks,Chicago Bulls
2014-12-18,Oklahoma City Thunder,Golden State Warriors
2014-12-18,New Orleans Pelicans,Houston Rockets
2014-12-18,Milwaukee Bucks,Sacramento Kings
2014-12-19,Minnesota Timberwolves,Boston Celtics
2014-12-19,Brooklyn Nets,Cleveland Cavaliers
2014-12-19,Los Angeles Clippers,Denver Nuggets
2014-12-19,Toronto Raptors,Detroit Pistons
2014-12-19,Oklahoma City Thunder,Los Angeles Lakers
2014-12-19,Chicago Bulls,Memphis Grizzlies
2014-12-19,Washington Wizards,Miami Heat
2014-12-19,Utah Jazz,Orlando Magic
2014-12-19,Charlotte Hornets,Philadelphia 76ers
2014-12-19,Portland Trail Blazers,San Antonio Spurs
2014-12-20,Utah Jazz,Charlotte Hornets
2014-12-20,San Antonio Spurs,Dallas Mavericks
2014-12-20,Indiana Pacers,Denver Nuggets
2014-12-20,Atlanta Hawks,Houston Rockets
2014-12-20,Milwaukee Bucks,Los Angeles Clippers
2014-12-20,Portland Trail Blazers,New Orleans Pelicans
2014-12-20,Phoenix Suns,New York Knicks
2014-12-21,Detroit Pistons,Brooklyn Nets
2014-12-21,Memphis Grizzlies,Cleveland Cavaliers
2014-12-21,Boston Celtics,Miami Heat
2014-12-21,Indiana Pacers,Minnesota Timberwolves
2014-12-21,New Orleans Pelicans,Oklahoma City Thunder
2014-12-21,Philadelphia 76ers,Orlando Magic
2014-12-21,Los Angeles Lakers,Sacramento Kings
2014-12-21,New York Knicks,Toronto Raptors
2014-12-21,Phoenix Suns,Washington Wizards
2014-12-22,Toronto Raptors,Chicago Bulls
2014-12-22,Denver Nuggets,Charlotte Hornets
2014-12-22,Atlanta Hawks,Dallas Mavericks
2014-12-22,Sacramento Kings,Golden State Warriors
2014-12-22,Portland Trail Blazers,Houston Rockets
2014-12-22,Utah Jazz,Memphis Grizzlies
2014-12-22,Los Angeles Clippers,San Antonio Spurs
2014-12-23,Los Angeles Clippers,Atlanta Hawks
2014-12-23,Denver Nuggets,Brooklyn Nets
2014-12-23,Minnesota Timberwolves,Cleveland Cavaliers
2014-12-23,New Orleans Pelicans,Indiana Pacers
2014-12-23,Golden State Warriors,Los Angeles Lakers
2014-12-23,Philadelphia 76ers,Miami Heat
2014-12-23,Charlotte Hornets,Milwaukee Bucks
2014-12-23,Portland Trail Blazers,Oklahoma City Thunder
2014-12-23,Boston Celtics,Orlando Magic
2014-12-23,Dallas Mavericks,Phoenix Suns
2014-12-23,Chicago Bulls,Washington Wizards
2014-12-25,Los Angeles Lakers,Chicago Bulls
2014-12-25,Golden State Warriors,Los Angeles Clippers
2014-12-25,Cleveland Cavaliers,Miami Heat
2014-12-25,Washington Wizards,New York Knicks
2014-12-25,Oklahoma City Thunder,San Antonio Spurs
2014-12-26,Milwaukee Bucks,Atlanta Hawks
2014-12-26,Brooklyn Nets,Boston Celtics
2014-12-26,Los Angeles Lakers,Dallas Mavericks
2014-12-26,Minnesota Timberwolves,Denver Nuggets
2014-12-26,Indiana Pacers,Detroit Pistons
2014-12-26,Houston Rockets,Memphis Grizzlies
2014-12-26,San Antonio Spurs,New Orleans Pelicans
2014-12-26,Charlotte Hornets,Oklahoma City Thunder
2014-12-26,Cleveland Cavaliers,Orlando Magic
2014-12-26,Philadelphia 76ers,Portland Trail Blazers
2014-12-26,Phoenix Suns,Sacramento Kings
2014-12-27,Indiana Pacers,Brooklyn Nets
2014-12-27,New Orleans Pelicans,Chicago Bulls
2014-12-27,Orlando Magic,Charlotte Hornets
2014-12-27,Minnesota Timberwolves,Golden State Warriors
2014-12-27,Toronto Raptors,Los Angeles Clippers
2014-12-27,Memphis Grizzlies,Miami Heat
2014-12-27,Atlanta Hawks,Milwaukee Bucks
2014-12-27,New York Knicks,Sacramento Kings
2014-12-27,Philadelphia 76ers,Utah Jazz
2014-12-27,Boston Celtics,Washington Wizards
2014-12-28,Detroit Pistons,Cleveland Cavaliers
2014-12-28,Oklahoma City Thunder,Dallas Mavericks
2014-12-28,Toronto Raptors,Denver Nuggets
2014-12-28,Phoenix Suns,Los Angeles Lakers
2014-12-28,New York Knicks,Portland Trail Blazers
2014-12-28,Houston Rockets,San Antonio Spurs
2014-12-29,Sacramento Kings,Brooklyn Nets
2014-12-29,Milwaukee Bucks,Charlotte Hornets
2014-12-29,Washington Wizards,Houston Rockets
2014-12-29,Chicago Bulls,Indiana Pacers
2014-12-29,Utah Jazz,Los Angeles Clippers
2014-12-29,Orlando Magic,Miami Heat
2014-12-30,Cleveland Cavaliers,Atlanta Hawks
2014-12-30,Brooklyn Nets,Chicago Bulls
2014-12-30,Washington Wizards,Dallas Mavericks
2014-12-30,Los Angeles Lakers,Denver Nuggets
2014-12-30,Philadelphia 76ers,Golden State Warriors
2014-12-30,San Antonio Spurs,Memphis Grizzlies
2014-12-30,Phoenix Suns,New Orleans Pelicans
2014-12-30,Detroit Pistons,Orlando Magic
2014-12-30,Toronto Raptors,Portland Trail Blazers
2014-12-30,Minnesota Timberwolves,Utah Jazz
2014-12-31,Sacramento Kings,Boston Celtics
2014-12-31,Milwaukee Bucks,Cleveland Cavaliers
2014-12-31,Charlotte Hornets,Houston Rockets
2014-12-31,Miami Heat,Indiana Pacers
2014-12-31,New York Knicks,Los Angeles Clippers
2014-12-31,Phoenix Suns,Oklahoma City Thunder
2014-12-31,New Orleans Pelicans,San Antonio Spurs
2015-01-01,Denver Nuggets,Chicago Bulls
2015-01-01,Sacramento Kings,Minnesota Timberwolves
2015-01-02,Dallas Mavericks,Boston Celtics
2015-01-02,Cleveland Cavaliers,Charlotte Hornets
2015-01-02,Toronto Raptors,Golden State Warriors
2015-01-02,Memphis Grizzlies,Los Angeles Lakers
2015-01-02,Indiana Pacers,Milwaukee Bucks
2015-01-02,Houston Rockets,New Orleans Pelicans
2015-01-02,Detroit Pistons,New York Knicks
2015-01-02,Washington Wizards,Oklahoma City Thunder
2015-01-02,Brooklyn Nets,Orlando Magic
2015-01-02,Philadelphia 76ers,Phoenix Suns
2015-01-02,Atlanta Hawks,Utah Jazz
2015-01-03,Boston Celtics,Chicago Bulls
2015-01-03,Memphis Grizzlies,Denver Nuggets
2015-01-03,Miami Heat,Houston Rockets
2015-01-03,Philadelphia 76ers,Los Angeles Clippers
2015-01-03,Utah Jazz,Minnesota Timberwolves
2015-01-03,Charlotte Hornets,Orlando Magic
2015-01-03,Atlanta Hawks,Portland Trail Blazers
2015-01-03,Washington Wizards,San Antonio Spurs
2015-01-04,Dallas Mavericks,Cleveland Cavaliers
2015-01-04,Sacramento Kings,Detroit Pistons
2015-01-04,Indiana Pacers,Los Angeles Lakers
2015-01-04,Brooklyn Nets,Miami Heat
2015-01-04,Milwaukee Bucks,New York Knicks
2015-01-04,Toronto Raptors,Phoenix Suns
2015-01-05,Charlotte Hornets,Boston Celtics
2015-01-05,Dallas Mavericks,Brooklyn Nets
2015-01-05,Houston Rockets,Chicago Bulls
2015-01-05,Oklahoma City Thunder,Golden State Warriors
2015-01-05,Atlanta Hawks,Los Angeles Clippers
2015-01-05,New York Knicks,Memphis Grizzlies
2015-01-05,Denver Nuggets,Minnesota Timberwolves
2015-01-05,Washington Wizards,New Orleans Pelicans
2015-01-05,Cleveland Cavaliers,Philadelphia 76ers
2015-01-05,Los Angeles Lakers,Portland Trail Blazers
2015-01-05,Indiana Pacers,Utah Jazz
2015-01-06,Phoenix Suns,Milwaukee Bucks
2015-01-06,Detroit Pistons,San Antonio Spurs
2015-01-07,Memphis Grizzlies,Atlanta Hawks
2015-01-07,Boston Celtics,Brooklyn Nets
2015-01-07,Utah Jazz,Chicago Bulls
2015-01-07,New Orleans Pelicans,Charlotte Hornets
2015-01-07,Houston Rockets,Cleveland Cavaliers
2015-01-07,Detroit Pistons,Dallas Mavericks
2015-01-07,Orlando Magic,Denver Nuggets
2015-01-07,Indiana Pacers,Golden State Warriors
2015-01-07,Los Angeles Lakers,Los Angeles Clippers
2015-01-07,Phoenix Suns,Minnesota Timberwolves
2015-01-07,Milwaukee Bucks,Philadelphia 76ers
