position,first_name,last_name,salary,date
SF,Earl,Clark,3000,2015-04-13
SG,Henry,Walker,3000,2015-04-13
SG,Justin,Holiday,3000,2015-04-13
PG,Jerryd,Bayless,3000,2015-04-13
PF,Jon,Leuer,3000,2015-04-13
SF,Robbie,Hummel,3000,2015-04-13
SG,ETwaun,Moore,3000,2015-04-13
SF,Kyle,Singler,3000,2015-04-13
C,Cole,Aldrich,3000,2015-04-13
PG,Nick,Calathes,3000,2015-04-13
SF,Austin,Daye,3000,2015-04-13
PG,Jimmer,Fredette,3000,2015-04-13
PG,Lester,Hudson,3000,2015-04-13
C,Festus,Ezeli,3000,2015-04-13
C,Jeff,Withey,3000,2015-04-13
PG,Jorge,Gutierrez,3000,2015-04-13
PF,JaMychal,Green,3000,2015-04-13
SF,Luke,Babbitt,3000,2015-04-13
PF,Andrew,Nicholson,3000,2015-04-13
SF,Jeffery,Taylor,3000,2015-04-13
C,Miles,Plumlee,3000,2015-04-13
C,Kyle,OQuinn,3000,2015-04-13
PF,Travis,Wear,3000,2015-04-13
SG,Ian,Clark,3000,2015-04-13
PG,Erick,Green,3000,2015-04-13
SG,Lance,Stephenson,3000,2015-04-13
PF,Jack,Cooley,3000,2015-04-13
PG,Darius,Morris,3000,2015-04-13
PF,Cory,Jefferson,3000,2015-04-13
SF,Jordan,Hamilton,3000,2015-04-13
C,Greg,Smith,3000,2015-04-13
SG,Allen,Crabbe,3000,2015-04-13
SG,Andre,Roberson,3000,2015-04-13
SG,Joe,Harris,3000,2015-04-13
PF,Cameron,Bairstow,3000,2015-04-13
SF,Perry,Jones,3000,2015-04-13
PF,Bernard,James,3000,2015-04-13
PF,Dwight,Powell,3000,2015-04-13
SG,Jeremy,Lamb,3000,2015-04-13
PG,Shabazz,Napier,3000,2015-04-13
PG,Russ,Smith,3000,2015-04-13
SF,Doug,McDermott,3000,2015-04-13
SG,Zoran,Dragic,3000,2015-04-13
SG,Tyler,Johnson,3000,2015-04-13
PG,Austin,Rivers,3000,2015-04-13
SG,Nick,Johnson,3000,2015-04-13
PF,Johnny,OBryant,3000,2015-04-13
SF,Quincy,Miller,3000,2015-04-13
SF,K.J.,McDaniels,3000,2015-04-13
SG,P.J.,Hairston,3000,2015-04-13
PF,James,Michael,3000,2015-04-13
C,Sim,Bhullar,3000,2015-04-13
PF,Jarnell,Stokes,3000,2015-04-13
SF,Kostas,Papanikolaou,3000,2015-04-13
C,Ognjen,Kuzmic,3000,2015-04-13
PF,Grant,Jerrett,3000,2015-04-13
SG,Jordan,Adams,3000,2015-04-13
SF,Glenn,Robinson,3000,2015-04-13
PF,Mitch,McGary,3000,2015-04-13
SG,Nik,Stauskas,3000,2015-04-13
PF,Anthony,Bennett,3000,2015-04-13
SG,Gary,Harris,3000,2015-04-13
SF,Joffrey,Lauvergne,3000,2015-04-13
PG,Tyler,Ennis,3000,2015-04-13
PF,Noah,Vonleh,3000,2015-04-13
C,Clint,Capela,3000,2015-04-13
