first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Nate,Wolters,2015-01-07,MIL,PHI,1263,1,5,0,1,0,0,1,0,1,2,2,0,1,4,2,9.75
Jose,Barea,2015-01-07,DAL,DET,600,1,2,0,0,0,0,0,0,0,1,0,0,1,1,2,3.0
Ryan,Hollins,2015-01-07,SAC,OKC,432,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.5
Jon,Leuer,2015-01-07,MEM,ATL,616,2,4,0,0,0,0,0,2,2,1,0,0,1,5,4,7.5
Quincy,Pondexter,2015-01-07,MEM,ATL,559,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,2.5
Malcolm,Thomas,2015-01-07,PHI,MIL,605,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,2.5
Kelly,Olynyk,2015-01-07,BOS,BRK,1282,3,8,0,2,0,0,0,2,2,0,1,0,1,5,6,10.0
Joel,Anthony,2015-01-07,DET,DAL,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Isaiah,Canaan,2015-01-07,HOU,CLE,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Steve,Novak,2015-01-07,UTA,CHI,105,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5
Ish,Smith,2015-01-07,OKC,SAC,225,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2.75
Jarnell,Stokes,2015-01-07,MEM,ATL,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Garrett,Temple,2015-01-07,WAS,NYK,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ekpe,Udoh,2015-01-07,LAC,LAL,361,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5
Shayne,Whittington,2015-01-07,IND,GSW,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alan,Anderson,2015-01-07,BRK,BOS,1498,1,5,0,1,2,2,1,3,4,0,0,0,1,4,4,8.5
Alonzo,Gee,2015-01-07,DEN,ORL,503,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1.25
Andre,Roberson,2015-01-07,OKC,SAC,501,0,0,0,0,1,2,0,1,1,0,0,0,1,0,1,1.75
Gary,Neal,2015-01-07,CHO,NOP,1026,2,8,1,4,0,0,0,1,1,1,0,0,1,1,5,7.75
C.J.,Wilcox,2015-01-07,LAC,LAL,361,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2,2.0
Quincy,Acy,2015-01-07,NYK,WAS,1789,2,8,0,1,0,0,1,8,9,0,0,0,2,2,4,14.25
Reggie,Bullock,2015-01-07,LAC,LAL,932,1,4,0,2,0,0,0,1,1,0,0,0,0,1,2,3.25
Robbie,Hummel,2015-01-07,MIN,PHO,431,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1.25
Robert,Covington,2015-01-07,PHI,MIL,1970,1,11,1,9,5,6,0,3,3,0,2,0,3,2,8,14.75
Tony,Wroten,2015-01-07,PHI,MIL,1408,4,19,0,7,4,4,0,0,0,1,0,0,1,2,12,13.0
Luke,Ridnour,2015-01-07,ORL,DEN,884,1,3,1,1,0,0,0,2,2,0,0,0,2,2,3,5.0
Kevin,Seraphin,2015-01-07,WAS,NYK,1029,2,5,0,0,0,0,0,2,2,0,0,0,2,2,4,5.5
Glen,Davis,2015-01-07,LAC,LAL,930,2,5,0,1,0,0,0,1,1,0,0,0,1,4,4,4.75
Darrell,Arthur,2015-01-07,DEN,ORL,1077,3,9,1,4,0,0,1,1,2,1,0,0,4,2,7,9.5
Kyle,Singler,2015-01-07,DET,DAL,1211,2,8,0,3,0,0,0,2,2,1,1,0,2,2,4,9.0
Deron,Williams,2015-01-07,BRK,BOS,247,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.75
Bojan,Bogdanovic,2015-01-07,BRK,BOS,678,0,2,0,2,0,0,0,4,4,1,0,0,2,0,0,5.5
Robert,Sacre,2015-01-07,LAL,LAC,621,0,2,0,0,0,0,2,2,4,0,0,0,1,3,0,4.5
Kobe,Bryant,2015-01-07,LAL,LAC,1667,2,12,0,3,0,0,0,8,8,7,1,0,6,1,4,23.5
P.J.,Hairston,2015-01-07,CHO,NOP,457,0,2,0,2,0,0,0,2,2,0,0,0,1,0,0,2.0
Johnny,O'Bryant,2015-01-07,MIL,PHI,1390,3,6,0,0,0,0,2,1,3,0,0,0,5,4,6,7.25
Drew,Gooden,2015-01-07,WAS,NYK,119,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1.0
Henry,Sims,2015-01-07,PHI,MIL,1087,1,8,0,0,1,1,0,5,5,1,0,0,2,0,3,9.75
Ian,Clark,2015-01-07,UTA,CHI,209,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.5
Michael,Carter-Williams,2015-01-07,PHI,MIL,1831,1,13,0,4,3,4,1,4,5,5,1,1,4,3,5,20.75
Nik,Stauskas,2015-01-07,SAC,OKC,603,0,4,0,1,0,0,0,2,2,0,0,0,0,1,0,2.5
Nick,Collison,2015-01-07,OKC,SAC,1046,0,2,0,0,2,2,1,2,3,3,0,0,5,5,2,7.75
Elijah,Millsap,2015-01-07,UTA,CHI,1281,1,3,0,1,0,2,0,2,2,1,1,1,4,4,2,8.0
Derrick,Rose,2015-01-07,CHI,UTA,1812,3,15,0,1,1,2,2,2,4,2,0,0,3,2,7,13.5
Kirk,Hinrich,2015-01-07,CHI,UTA,1467,0,5,0,3,0,0,0,1,1,1,0,1,0,4,0,4.75
Nikola,Mirotic,2015-01-07,CHI,UTA,1367,1,7,0,4,0,0,0,1,1,1,0,1,2,2,2,5.75
Russell,Westbrook,2015-01-07,OKC,SAC,1647,3,19,0,5,4,5,3,4,7,4,1,0,7,4,10,23.25
Channing,Frye,2015-01-07,ORL,DEN,1165,0,5,0,4,0,0,0,1,1,1,0,0,1,3,0,2.25
J.R.,Smith,2015-01-07,CLE,HOU,1060,0,5,0,4,0,0,0,1,1,0,1,1,2,3,0,4.25
